"Dato","Kumulativt antall","Nye tilfeller"
"21.02.2020",1,1
"22.02.2020",1,0
"23.02.2020",1,0
"24.02.2020",1,0
"25.02.2020",1,0
"26.02.2020",4,3
"27.02.2020",6,2
"28.02.2020",15,9
"29.02.2020",21,6
"01.03.2020",31,10
"02.03.2020",43,12
"03.03.2020",74,31
"04.03.2020",107,33
"05.03.2020",140,33
"06.03.2020",164,24
"07.03.2020",183,19
"08.03.2020",248,65
"09.03.2020",495,247
"10.03.2020",736,241
"11.03.2020",911,175
"12.03.2020",1117,206
"13.03.2020",1264,147
"14.03.2020",1364,100
"15.03.2020",1463,99
"16.03.2020",1643,180
"17.03.2020",1819,176
"18.03.2020",2032,213
"19.03.2020",2271,239
"20.03.2020",2579,308
"21.03.2020",2753,174
"22.03.2020",2901,148
"23.03.2020",3197,296
"24.03.2020",3510,313
"25.03.2020",3802,292
"26.03.2020",4100,298
"27.03.2020",4362,262
"28.03.2020",4528,166
"29.03.2020",4634,106
"30.03.2020",4898,264
"31.03.2020",5106,208
"01.04.2020",5304,198
"02.04.2020",5502,198
"03.04.2020",5666,164
"04.04.2020",5754,88
"05.04.2020",5826,72
"06.04.2020",5985,159
"07.04.2020",6125,140
"08.04.2020",6231,106
"09.04.2020",6334,103
"10.04.2020",6402,68
"11.04.2020",6512,110
"12.04.2020",6589,77
"13.04.2020",6666,77
"14.04.2020",6788,122
"15.04.2020",6891,103
"16.04.2020",6971,80
"17.04.2020",7079,108
"18.04.2020",7128,49
"19.04.2020",7164,36
"20.04.2020",7248,84
"21.04.2020",7326,78
"22.04.2020",7403,77
"23.04.2020",7472,69
"24.04.2020",7525,53
"25.04.2020",7550,25
"26.04.2020",7587,37
"27.04.2020",7658,71
"28.04.2020",7708,50
"29.04.2020",7747,39
"30.04.2020",7786,39
"01.05.2020",7829,43
"02.05.2020",7852,23
"03.05.2020",7896,44
"04.05.2020",7941,45
"05.05.2020",7985,44
"06.05.2020",8024,39
"07.05.2020",8053,29
"08.05.2020",8095,42
"09.05.2020",8106,11
"10.05.2020",8118,12
"11.05.2020",8143,25
"12.05.2020",8162,19
"13.05.2020",8181,19
"14.05.2020",8205,24
"15.05.2020",8228,23
"16.05.2020",8241,13
"17.05.2020",8245,4
"18.05.2020",8262,17
"19.05.2020",8282,20
"20.05.2020",8301,19
"21.05.2020",8315,14
"22.05.2020",8341,26
"23.05.2020",8347,6
"24.05.2020",8353,6
"25.05.2020",8371,18
"26.05.2020",8383,12
"27.05.2020",8401,18
"28.05.2020",8417,16
"29.05.2020",8433,16
"30.05.2020",8433,0
"31.05.2020",8439,6
"01.06.2020",8446,7
"02.06.2020",8477,31
"03.06.2020",8489,12
"04.06.2020",8506,17
"05.06.2020",8536,30
"06.06.2020",8544,8
"07.06.2020",8553,9
"08.06.2020",8572,19
"09.06.2020",8585,13
"10.06.2020",8599,14
"11.06.2020",8610,11
"12.06.2020",8623,13
"13.06.2020",8630,7
"14.06.2020",8636,6
"15.06.2020",8654,18
"16.06.2020",8690,36
"17.06.2020",8705,15
"18.06.2020",8718,13
"19.06.2020",8736,18
"20.06.2020",8742,6
"21.06.2020",8746,4
"22.06.2020",8774,28
