"Dato","Kumulativt antall","Nye intensivinnleggelser"
"21.02.2020",0,0
"22.02.2020",0,0
"23.02.2020",0,0
"24.02.2020",0,0
"25.02.2020",0,0
"26.02.2020",0,0
"27.02.2020",0,0
"28.02.2020",0,0
"29.02.2020",0,0
"01.03.2020",0,0
"02.03.2020",0,0
"03.03.2020",0,0
"04.03.2020",0,0
"05.03.2020",0,0
"06.03.2020",0,0
"07.03.2020",0,0
"08.03.2020",0,0
"09.03.2020",0,0
"10.03.2020",3,3
"11.03.2020",5,2
"12.03.2020",6,1
"13.03.2020",7,1
"14.03.2020",8,1
"15.03.2020",11,3
"16.03.2020",17,6
"17.03.2020",21,4
"18.03.2020",26,5
"19.03.2020",32,6
"20.03.2020",41,9
"21.03.2020",47,6
"22.03.2020",55,8
"23.03.2020",66,11
"24.03.2020",80,14
"25.03.2020",97,17
"26.03.2020",106,9
"27.03.2020",119,13
"28.03.2020",126,7
"29.03.2020",132,6
"30.03.2020",141,9
"31.03.2020",148,7
"01.04.2020",152,4
"02.04.2020",156,4
"03.04.2020",161,5
"04.04.2020",164,3
"05.04.2020",168,4
"06.04.2020",169,1
"07.04.2020",171,2
"08.04.2020",173,2
"09.04.2020",175,2
"10.04.2020",177,2
"11.04.2020",179,2
"12.04.2020",180,1
"13.04.2020",180,0
"14.04.2020",182,2
"15.04.2020",186,4
"16.04.2020",189,3
"17.04.2020",190,1
"18.04.2020",192,2
"19.04.2020",195,3
"20.04.2020",196,1
"21.04.2020",197,1
"22.04.2020",200,3
"23.04.2020",204,4
"24.04.2020",206,2
"25.04.2020",207,1
"26.04.2020",208,1
"27.04.2020",209,1
"28.04.2020",210,1
"29.04.2020",210,0
"30.04.2020",210,0
"01.05.2020",211,1
"02.05.2020",211,0
"03.05.2020",211,0
"04.05.2020",211,0
"05.05.2020",212,1
"06.05.2020",213,1
"07.05.2020",213,0
"08.05.2020",214,1
"09.05.2020",214,0
"10.05.2020",215,1
"11.05.2020",216,1
"12.05.2020",216,0
"13.05.2020",216,0
"14.05.2020",216,0
"15.05.2020",217,1
"16.05.2020",218,1
"17.05.2020",218,0
"18.05.2020",218,0
"19.05.2020",218,0
"20.05.2020",218,0
"21.05.2020",218,0
"22.05.2020",219,1
"23.05.2020",219,0
"24.05.2020",219,0
"25.05.2020",219,0
"26.05.2020",219,0
"27.05.2020",219,0
"28.05.2020",219,0
"29.05.2020",220,1
"30.05.2020",220,0
"31.05.2020",220,0
"01.06.2020",220,0
"02.06.2020",220,0
"03.06.2020",220,0
"04.06.2020",220,0
"05.06.2020",220,0
"06.06.2020",220,0
"07.06.2020",220,0
"08.06.2020",220,0
"09.06.2020",220,0
"10.06.2020",220,0
"11.06.2020",222,2
"12.06.2020",222,0
"13.06.2020",223,1
"14.06.2020",224,1
"15.06.2020",224,0
"16.06.2020",224,0
"17.06.2020",224,0
"18.06.2020",224,0
"19.06.2020",226,2
"20.06.2020",226,0
"21.06.2020",226,0
"22.06.2020",226,0
"23.06.2020",226,0
"24.06.2020",226,0
"25.06.2020",226,0
"26.06.2020",226,0
"27.06.2020",226,0
"28.06.2020",226,0
"29.06.2020",226,0
"30.06.2020",227,1
"01.07.2020",227,0
"02.07.2020",227,0
"03.07.2020",227,0
"04.07.2020",227,0
"05.07.2020",227,0
"06.07.2020",227,0
"07.07.2020",228,1
"08.07.2020",228,0
"09.07.2020",228,0
"10.07.2020",228,0
"11.07.2020",228,0
"12.07.2020",228,0
"13.07.2020",228,0
"14.07.2020",228,0
"15.07.2020",228,0
"16.07.2020",228,0
"17.07.2020",229,1
"18.07.2020",229,0
"19.07.2020",229,0
"20.07.2020",229,0
"21.07.2020",229,0
"22.07.2020",229,0
"23.07.2020",229,0
"24.07.2020",230,1
"25.07.2020",230,0
"26.07.2020",230,0
"27.07.2020",230,0
"28.07.2020",230,0
"29.07.2020",230,0
"30.07.2020",230,0
"31.07.2020",230,0
"01.08.2020",230,0
"02.08.2020",230,0
"03.08.2020",230,0
"04.08.2020",230,0
"05.08.2020",230,0
"06.08.2020",230,0
"07.08.2020",231,1
"08.08.2020",231,0
"09.08.2020",231,0
"10.08.2020",232,1
"11.08.2020",232,0
"12.08.2020",232,0
"13.08.2020",233,1
"14.08.2020",233,0
"15.08.2020",233,0
"16.08.2020",233,0
"17.08.2020",233,0
"18.08.2020",233,0
"19.08.2020",233,0
"20.08.2020",233,0
"21.08.2020",234,1
"22.08.2020",234,0
"23.08.2020",234,0
"24.08.2020",234,0
"25.08.2020",234,0
"26.08.2020",234,0
"27.08.2020",234,0
"28.08.2020",235,1
"29.08.2020",235,0
"30.08.2020",235,0
"31.08.2020",235,0
"01.09.2020",235,0
"02.09.2020",235,0
"03.09.2020",235,0
"04.09.2020",235,0
"05.09.2020",236,1
"06.09.2020",236,0
"07.09.2020",236,0
"08.09.2020",236,0
"09.09.2020",236,0
"10.09.2020",236,0
"11.09.2020",236,0
"12.09.2020",237,1
"13.09.2020",238,1
"14.09.2020",239,1
"15.09.2020",240,1
"16.09.2020",240,0
"17.09.2020",240,0
"18.09.2020",240,0
"19.09.2020",240,0
"20.09.2020",240,0
"21.09.2020",241,1
"22.09.2020",241,0
"23.09.2020",242,1
"24.09.2020",242,0
"25.09.2020",243,1
"26.09.2020",243,0
"27.09.2020",243,0
"28.09.2020",244,1
"29.09.2020",244,0
"30.09.2020",244,0
"01.10.2020",245,1
"02.10.2020",245,0
"03.10.2020",245,0
"04.10.2020",246,1
"05.10.2020",246,0
"06.10.2020",246,0
"07.10.2020",248,2
"08.10.2020",248,0
"09.10.2020",248,0
"10.10.2020",248,0
"11.10.2020",248,0
"12.10.2020",249,1
"13.10.2020",250,1
"14.10.2020",251,1
"15.10.2020",251,0
"16.10.2020",251,0
"17.10.2020",253,2
"18.10.2020",254,1
"19.10.2020",254,0
"20.10.2020",254,0
"21.10.2020",255,1
"22.10.2020",257,2
"23.10.2020",257,0
"24.10.2020",258,1
"25.10.2020",258,0
"26.10.2020",259,1
"27.10.2020",261,2
"28.10.2020",261,0
"29.10.2020",262,1
"30.10.2020",263,1
"31.10.2020",263,0
"01.11.2020",263,0
"02.11.2020",265,2
"03.11.2020",271,6
"04.11.2020",273,2
"05.11.2020",276,3
"06.11.2020",279,3
"07.11.2020",279,0
"08.11.2020",280,1
"09.11.2020",281,1
"10.11.2020",282,1
"11.11.2020",284,2
"12.11.2020",288,4
"13.11.2020",289,1
"14.11.2020",293,4
"15.11.2020",297,4
"16.11.2020",301,4
"17.11.2020",305,4
"18.11.2020",307,2
"19.11.2020",311,4
"20.11.2020",313,2
"21.11.2020",317,4
"22.11.2020",321,4
"23.11.2020",323,2
"24.11.2020",325,2
"25.11.2020",328,3
"26.11.2020",329,1
"27.11.2020",330,1
"28.11.2020",333,3
"29.11.2020",335,2
"30.11.2020",338,3
"01.12.2020",341,3
"02.12.2020",343,2
"03.12.2020",345,2
"04.12.2020",348,3
"05.12.2020",349,1
"06.12.2020",354,5
"07.12.2020",357,3
"08.12.2020",360,3
"09.12.2020",360,0
"10.12.2020",363,3
"11.12.2020",369,6
"12.12.2020",371,2
"13.12.2020",374,3
"14.12.2020",376,2
"15.12.2020",377,1
"16.12.2020",381,4
"17.12.2020",383,2
"18.12.2020",386,3
"19.12.2020",387,1
"20.12.2020",388,1
"21.12.2020",390,2
"22.12.2020",394,4
"23.12.2020",396,2
"24.12.2020",399,3
"25.12.2020",400,1
"26.12.2020",401,1
"27.12.2020",402,1
"28.12.2020",404,2
"29.12.2020",404,0
"30.12.2020",406,2
"31.12.2020",407,1
"01.01.2021",409,2
"02.01.2021",411,2
"03.01.2021",413,2
"04.01.2021",418,5
"05.01.2021",422,4
"06.01.2021",423,1
"07.01.2021",425,2
"08.01.2021",430,5
"09.01.2021",433,3
"10.01.2021",435,2
"11.01.2021",438,3
"12.01.2021",438,0
"13.01.2021",441,3
"14.01.2021",444,3
"15.01.2021",446,2
"16.01.2021",450,4
"17.01.2021",450,0
"18.01.2021",454,4
"19.01.2021",457,3
"20.01.2021",457,0
"21.01.2021",461,4
"22.01.2021",462,1
"23.01.2021",463,1
"24.01.2021",464,1
"25.01.2021",466,2
"26.01.2021",466,0
"27.01.2021",466,0
"28.01.2021",471,5
"29.01.2021",471,0
"30.01.2021",473,2
"31.01.2021",474,1
"01.02.2021",475,1
"02.02.2021",478,3
"03.02.2021",480,2
"04.02.2021",480,0
"05.02.2021",481,1
"06.02.2021",482,1
"07.02.2021",484,2
"08.02.2021",485,1
"09.02.2021",487,2
"10.02.2021",487,0
"11.02.2021",488,1
"12.02.2021",490,2
"13.02.2021",491,1
"14.02.2021",492,1
"15.02.2021",493,1
"16.02.2021",493,0
"17.02.2021",493,0
"18.02.2021",496,3
"19.02.2021",498,2
"20.02.2021",499,1
"21.02.2021",500,1
"22.02.2021",503,3
"23.02.2021",505,2
"24.02.2021",506,1
"25.02.2021",509,3
"26.02.2021",511,2
"27.02.2021",512,1
"28.02.2021",512,0
"01.03.2021",516,4
"02.03.2021",517,1
"03.03.2021",519,2
"04.03.2021",522,3
"05.03.2021",526,4
"06.03.2021",527,1
"07.03.2021",530,3
"08.03.2021",535,5
"09.03.2021",537,2
"10.03.2021",541,4
"11.03.2021",541,0
"12.03.2021",544,3
"13.03.2021",553,9
"14.03.2021",560,7
"15.03.2021",566,6
"16.03.2021",574,8
"17.03.2021",585,11
"18.03.2021",592,7
"19.03.2021",599,7
"20.03.2021",603,4
"21.03.2021",607,4
"22.03.2021",609,2
"23.03.2021",620,11
"24.03.2021",630,10
"25.03.2021",636,6
"26.03.2021",645,9
"27.03.2021",651,6
"28.03.2021",662,11
"29.03.2021",670,8
"30.03.2021",678,8
"31.03.2021",689,11
"01.04.2021",694,5
"02.04.2021",700,6
"03.04.2021",710,10
"04.04.2021",717,7
"05.04.2021",722,5
"06.04.2021",726,4
"07.04.2021",730,4
"08.04.2021",732,2
"09.04.2021",738,6
"10.04.2021",742,4
"11.04.2021",749,7
"12.04.2021",753,4
"13.04.2021",757,4
"14.04.2021",766,9
"15.04.2021",770,4
"16.04.2021",776,6
"17.04.2021",778,2
"18.04.2021",783,5
"19.04.2021",786,3
"20.04.2021",792,6
"21.04.2021",795,3
"22.04.2021",801,6
"23.04.2021",804,3
"24.04.2021",810,6
"25.04.2021",812,2
"26.04.2021",817,5
"27.04.2021",818,1
"28.04.2021",818,0
"29.04.2021",819,1
"30.04.2021",821,2
"01.05.2021",822,1
"02.05.2021",826,4
"03.05.2021",828,2
"04.05.2021",828,0
"05.05.2021",829,1
"06.05.2021",833,4
"07.05.2021",835,2
"08.05.2021",837,2
"09.05.2021",838,1
"10.05.2021",840,2
"11.05.2021",843,3
"12.05.2021",845,2
"13.05.2021",848,3
"14.05.2021",850,2
"15.05.2021",850,0
"16.05.2021",851,1
"17.05.2021",853,2
"18.05.2021",854,1
"19.05.2021",859,5
"20.05.2021",861,2
"21.05.2021",863,2
"22.05.2021",863,0
"23.05.2021",865,2
"24.05.2021",866,1
"25.05.2021",868,2
"26.05.2021",870,2
"27.05.2021",872,2
"28.05.2021",872,0
"29.05.2021",874,2
"30.05.2021",875,1
"31.05.2021",877,2
"01.06.2021",877,0
"02.06.2021",877,0
"03.06.2021",879,2
"04.06.2021",880,1
"05.06.2021",880,0
"06.06.2021",883,3
"07.06.2021",884,1
"08.06.2021",884,0
"09.06.2021",884,0
"10.06.2021",884,0
"11.06.2021",884,0
"12.06.2021",884,0
"13.06.2021",886,2
"14.06.2021",886,0
"15.06.2021",886,0
"16.06.2021",886,0
"17.06.2021",886,0
"18.06.2021",886,0
"19.06.2021",886,0
"20.06.2021",886,0
"21.06.2021",886,0
"22.06.2021",886,0
"23.06.2021",886,0
"24.06.2021",887,1
"25.06.2021",890,3
"26.06.2021",890,0
"27.06.2021",891,1
"28.06.2021",891,0
"29.06.2021",891,0
"30.06.2021",892,1
"01.07.2021",892,0
"02.07.2021",892,0
"03.07.2021",892,0
"04.07.2021",893,1
"05.07.2021",896,3
"06.07.2021",896,0
"07.07.2021",897,1
"08.07.2021",898,1
"09.07.2021",898,0
"10.07.2021",898,0
"11.07.2021",898,0
"12.07.2021",899,1
"13.07.2021",900,1
"14.07.2021",900,0
"15.07.2021",901,1
"16.07.2021",902,1
"17.07.2021",903,1
"18.07.2021",903,0
"19.07.2021",904,1
"20.07.2021",904,0
"21.07.2021",905,1
"22.07.2021",905,0
"23.07.2021",905,0
"24.07.2021",905,0
"25.07.2021",906,1
"26.07.2021",907,1
"27.07.2021",907,0
"28.07.2021",907,0
"29.07.2021",907,0
"30.07.2021",908,1
"31.07.2021",908,0
"01.08.2021",909,1
"02.08.2021",910,1
"03.08.2021",911,1
"04.08.2021",911,0
"05.08.2021",912,1
"06.08.2021",913,1
"07.08.2021",913,0
"08.08.2021",915,2
"09.08.2021",915,0
"10.08.2021",915,0
"11.08.2021",915,0
"12.08.2021",915,0
"13.08.2021",916,1
"14.08.2021",916,0
"15.08.2021",918,2
"16.08.2021",919,1
"17.08.2021",919,0
"18.08.2021",922,3
"19.08.2021",922,0
"20.08.2021",922,0
"21.08.2021",922,0
"22.08.2021",924,2
"23.08.2021",925,1
"24.08.2021",926,1
"25.08.2021",926,0
"26.08.2021",929,3
"27.08.2021",930,1
"28.08.2021",931,1
"29.08.2021",932,1
"30.08.2021",935,3
"31.08.2021",940,5
"01.09.2021",942,2
"02.09.2021",944,2
"03.09.2021",944,0
"04.09.2021",946,2
"05.09.2021",949,3
"06.09.2021",953,4
"07.09.2021",956,3
"08.09.2021",963,7
"09.09.2021",963,0
"10.09.2021",968,5
"11.09.2021",972,4
"12.09.2021",973,1
"13.09.2021",975,2
"14.09.2021",977,2
"15.09.2021",978,1
"16.09.2021",979,1
"17.09.2021",981,2
"18.09.2021",984,3
"19.09.2021",985,1
"20.09.2021",987,2
"21.09.2021",990,3
"22.09.2021",991,1
"23.09.2021",993,2
"24.09.2021",996,3
"25.09.2021",999,3
"26.09.2021",1002,3
"27.09.2021",1004,2
"28.09.2021",1006,2
"29.09.2021",1008,2
"30.09.2021",1010,2
"01.10.2021",1012,2
"02.10.2021",1012,0
"03.10.2021",1012,0
"04.10.2021",1013,1
"05.10.2021",1016,3
"06.10.2021",1019,3
"07.10.2021",1022,3
"08.10.2021",1024,2
"09.10.2021",1026,2
"10.10.2021",1027,1
"11.10.2021",1034,7
"12.10.2021",1035,1
"13.10.2021",1036,1
"14.10.2021",1036,0
"15.10.2021",1038,2
"16.10.2021",1042,4
"17.10.2021",1043,1
"18.10.2021",1045,2
"19.10.2021",1046,1
"20.10.2021",1048,2
"21.10.2021",1051,3
"22.10.2021",1054,3
"23.10.2021",1054,0
"24.10.2021",1056,2
"25.10.2021",1060,4
"26.10.2021",1064,4
"27.10.2021",1065,1
"28.10.2021",1069,4
"29.10.2021",1070,1
"30.10.2021",1078,8
"31.10.2021",1078,0
"01.11.2021",1084,6
"02.11.2021",1088,4
"03.11.2021",1095,7
"04.11.2021",1100,5
"05.11.2021",1105,5
"06.11.2021",1110,5
"07.11.2021",1119,9
"08.11.2021",1122,3
"09.11.2021",1129,7
"10.11.2021",1133,4
"11.11.2021",1136,3
"12.11.2021",1140,4
"13.11.2021",1141,1
"14.11.2021",1148,7
"15.11.2021",1153,5
"16.11.2021",1159,6
"17.11.2021",1159,0
"18.11.2021",1160,1
"19.11.2021",1166,6
"20.11.2021",1169,3
"21.11.2021",1172,3
"22.11.2021",1182,10
"23.11.2021",1188,6
"24.11.2021",1195,7
"25.11.2021",1200,5
"26.11.2021",1205,5
"27.11.2021",1212,7
"28.11.2021",1217,5
"29.11.2021",1227,10
"30.11.2021",1228,1
"01.12.2021",1234,6
"02.12.2021",1239,5
"03.12.2021",1246,7
"04.12.2021",1255,9
"05.12.2021",1262,7
"06.12.2021",1272,10
"07.12.2021",1289,17
"08.12.2021",1296,7
"09.12.2021",1305,9
"10.12.2021",1318,13
"11.12.2021",1321,3
"12.12.2021",1333,12
"13.12.2021",1342,9
"14.12.2021",1353,11
"15.12.2021",1367,14
"16.12.2021",1373,6
"17.12.2021",1384,11
"18.12.2021",1387,3
"19.12.2021",1396,9
"20.12.2021",1404,8
"21.12.2021",1410,6
"22.12.2021",1417,7
"23.12.2021",1426,9
"24.12.2021",1432,6
"25.12.2021",1441,9
"26.12.2021",1448,7
"27.12.2021",1456,8
"28.12.2021",1463,7
"29.12.2021",1470,7
"30.12.2021",1474,4
"31.12.2021",1480,6
"01.01.2022",1486,6
"02.01.2022",1488,2
"03.01.2022",1493,5
"04.01.2022",1500,7
"05.01.2022",1505,5
"06.01.2022",1509,4
"07.01.2022",1510,1
"08.01.2022",1517,7
"09.01.2022",1521,4
"10.01.2022",1523,2
"11.01.2022",1525,2
"12.01.2022",1529,4
"13.01.2022",1531,2
"14.01.2022",1534,3
"15.01.2022",1538,4
"16.01.2022",1539,1
"17.01.2022",1542,3
"18.01.2022",1545,3
"19.01.2022",1548,3
"20.01.2022",1552,4
"21.01.2022",1556,4
"22.01.2022",1557,1
"23.01.2022",1563,6
"24.01.2022",1565,2
"25.01.2022",1567,2
"26.01.2022",1568,1
"27.01.2022",1573,5
"28.01.2022",1575,2
"29.01.2022",1581,6
"30.01.2022",1583,2
"31.01.2022",1585,2
"01.02.2022",1587,2
"02.02.2022",1592,5
"03.02.2022",1594,2
"04.02.2022",1596,2
"05.02.2022",1600,4
"06.02.2022",1604,4
"07.02.2022",1604,0
"08.02.2022",1607,3
"09.02.2022",1608,1
"10.02.2022",1611,3
"11.02.2022",1614,3
"12.02.2022",1615,1
"13.02.2022",1621,6
"14.02.2022",1625,4
"15.02.2022",1630,5
"16.02.2022",1634,4
"17.02.2022",1642,8
"18.02.2022",1649,7
"19.02.2022",1654,5
"20.02.2022",1661,7
"21.02.2022",1668,7
"22.02.2022",1669,1
"23.02.2022",1683,14
"24.02.2022",1689,6
"25.02.2022",1690,1
"26.02.2022",1697,7
"27.02.2022",1700,3
"28.02.2022",1714,14
"01.03.2022",1722,8
"02.03.2022",1733,11
"03.03.2022",1738,5
"04.03.2022",1747,9
"05.03.2022",1753,6
"06.03.2022",1764,11
"07.03.2022",1770,6
"08.03.2022",1777,7
"09.03.2022",1779,2
"10.03.2022",1789,10
"11.03.2022",1792,3
"12.03.2022",1800,8
"13.03.2022",1805,5
"14.03.2022",1811,6
"15.03.2022",1814,3
"16.03.2022",1820,6
"17.03.2022",1825,5
"18.03.2022",1830,5
"19.03.2022",1835,5
"20.03.2022",1841,6
"21.03.2022",1848,7
"22.03.2022",1855,7
"23.03.2022",1855,0
