minutes,non-obese,obese
0,7.1,18.4
15,7.2,19.8
30,7.1,18.4
45,10,20.3
60,26.7,63.3
75,43.3,97.4
90,56.4,120.2
105,56.8,118.7
120,49.7,121
135,42,98.7
150,42.3,73.6
165,32.2,60.5
180,19.5,44.7
195,11,45.8
210,7.4,62.3
225,23.7,97.8
240,59.8,123.7
255,58.3,118.8
270,56.7,112
285,42.4,116.7
300,40.7,99.2
315,32,80.4
330,25.4,64.2
345,25.7,61.8
360,18.8,59.8
375,11.6,56.1
390,10.3,43.6
405,8.1,43.3
420,16.4,62
435,38.9,99.2
450,44.2,122.5
465,40.4,119.8
480,28.7,99
495,28.1,99.8
510,27.5,96.9
525,27.1,92.2
540,25.5,80.2
555,20,67.7
570,15.8,53.3
585,13.6,47.6
600,12.7,38.7
615,12.2,40.1
630,11.9,36.4
645,11.4,31.5
660,11.1,27.8
675,10.8,23.2
690,10.7,24.1
705,9.9,20.7
720,9.3,20.4
735,9,21.2
750,8.8,19.3
765,8.7,19.8
780,8.6,18.4
795,8.6,19.2
810,8.5,18
825,8.9,17.8
840,8.6,17.6
855,8.3,17.7
870,8,18
885,7.8,17.9
900,7.8,17.8
915,7.7,18
930,7.6,17.8
945,7.6,17.6
960,7.6,17.7
975,7.7,17.9
990,7.5,17.8
1005,7.4,18
1020,7.2,17.8
